,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
0,Konya Plain,0,0.584207148,4.895143011,4.309284982,3.958916644,2.946330783,0.36,0.777777778,0.95,1.0,2.7
1,Konya Plain,100,0.584207148,4.895143011,4.309284982,3.958916644,2.946330783,0.36,0.777777778,0.95,1.0,2.7
2,Konya Plain,200,0.584207148,4.895143011,4.309284982,3.958916644,2.946330783,0.36,0.777777778,0.95,1.0,2.7
3,Konya Plain,300,0.584207148,4.895143011,4.309284982,3.958916644,2.946330783,0.36,0.777777778,0.95,1.0,2.7
4,Konya Plain,400,0.666109699,6.016334342,4.802041988,4.047458936,4.280181205,0.875,0.766666667,0.714285714,0.833333333,3.0
5,Konya Plain,500,0.688037193,5.523646943,5.191379084,4.199544712,4.333333333,0.8625,0.79,0.8,0.966666667,3.0
6,Konya Plain,600,0.678982186,5.523646943,4.723020072,4.199544712,4.333333333,0.8625,0.79,0.8,0.966666667,3.0
7,Konya Plain,700,0.69336631,6.145872318,5.496928773,4.184149555,4.451099555,0.9,0.727272727,0.714285714,0.833333333,3.0
8,Konya Plain,800,0.694619228,6.145872318,5.554301882,4.184149555,4.451099555,0.9,0.727272727,0.714285714,0.833333333,3.0
9,Konya Plain,900,0.605397714,5.169790821,2.644605105,4.122699416,3.666666667,0.916666667,0.75,0.95,0.7,2.7
10,Konya Plain,1000,0.605397714,5.169790821,2.644605105,4.122699416,3.666666667,0.916666667,0.75,0.95,0.7,2.7
11,Konya Plain,1100,0.600754195,5.038191807,3.566163791,4.477832357,3.410722062,0.7,0.9,0.966666667,0.9,1.0
12,Konya Plain,1200,0.637261443,6.111619316,5.0,4.263790133,3.731224351,0.9,0.7375,0.783333333,0.8,1.0
13,Konya Plain,1300,0.637261443,6.111619316,5.0,4.263790133,3.731224351,0.9,0.7375,0.783333333,0.8,1.0
14,Konya Plain,1400,0.763213754,5.708982946,5.397940009,4.331729493,4.228775426,0.74,0.925,0.78,0.971428571,5.0
15,Konya Plain,1500,0.887021376,7.333008823,6.740362689,5.301029996,6.185276146,0.972727273,0.891666667,0.828571429,0.925,5.0
16,Konya Plain,1600,0.884931562,7.452026836,6.579783597,5.301029996,6.185276146,0.972727273,0.891666667,0.828571429,0.925,5.0
17,Konya Plain,1700,0.746792056,6.402521899,5.62324929,4.751994695,4.135290295,0.725,0.83,0.816666667,0.9125,5.0
18,Konya Plain,1800,0.778294628,4.802415616,5.447158031,4.82525317,5.479804078,0.9875,0.9,0.828571429,0.9375,5.0
19,Konya Plain,1900,0.678603227,5.518728332,5.113943352,4.100370253,4.0,0.6625,0.68,0.8,0.9,5.0
20,Konya Plain,2000,0.926778876,7.698970004,6.653212514,6.032370081,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
21,Konya Plain,2100,0.931204977,7.721346318,6.763427994,6.059856612,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
22,Konya Plain,2200,0.929826614,7.820478362,6.698970004,6.0,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
23,Sogdiana,0,0.887021376,7.333008823,6.740362689,5.301029996,6.185276146,0.972727273,0.891666667,0.828571429,0.925,5.0
24,Sogdiana,100,0.884931562,7.452026836,6.579783597,5.301029996,6.185276146,0.972727273,0.891666667,0.828571429,0.925,5.0
25,Sogdiana,200,0.85419066,7.204119983,6.556302501,4.82525317,5.479804078,0.9875,0.9,0.828571429,0.9375,5.0
26,Sogdiana,300,0.765870426,7.160388688,5.899076538,4.430356391,4.0,0.7625,0.8,0.814285714,0.9375,5.0
27,Sogdiana,400,0.684295704,7.131412166,4.041423741,5.188966847,2.850328263,0.5,0.644444444,0.94,0.9,5.0
28,Sogdiana,500,0.619264747,4.987384242,4.041423741,3.9658069,2.850328263,0.5,0.644444444,0.94,0.9,5.0
29,Paris Basin,-100,0.451406059,4.862608751,3.096910013,1.698970004,3.666666667,0.327272727,0.609090909,0.925,0.1,5.0
30,Paris Basin,0,0.499566954,4.862608751,3.096910013,3.330488558,3.666666667,0.327272727,0.609090909,0.925,0.1,5.0
31,Paris Basin,100,0.554045252,4.883541279,4.176091259,3.941182552,3.687121686,0.388888889,0.654545455,0.925,0.1,5.0
32,Paris Basin,200,0.926778876,7.698970004,6.653212514,6.032370081,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
33,Paris Basin,300,0.931204977,7.721346318,6.763427994,6.059856612,8.174936886,0.645454545,0.991666667,0.833333333,1.0,5.0
