NGA,PolID,Time,SPC1,RelTime,Preceeding.Relation,Keep,Note
Cambodian Basin,KhFunaE,300,0.673645867,0,continuity,YES,
Cambodian Basin,KhFunaE,400,0.673645867,100,continuity,YES,
Cambodian Basin,KhFunaE,500,0.673645867,200,continuity,YES,
Cambodian Basin,KhFunaL,600,0.664762288,300,continuity,YES,
Cambodian Basin,KhChenl,700,0.753939739,400,continuity,YES,
Cambodian Basin,KhChenl,800,0.783000327,500,continuity,YES,
Cambodian Basin,KhAngkE,900,0.844608618,600,continuity,YES,
Cambodian Basin,KhAngkE,1000,0.828655743,700,continuity,YES,
Cambodian Basin,KhAngkC,1100,0.840908724,800,continuity,YES,
Cambodian Basin,KhAngkC,1200,0.840908724,900,continuity,YES,
Cambodian Basin,KhAngkL,1300,0.812885255,1000,continuity,YES,
Cambodian Basin,KhAngkL,1400,0.812885255,1100,continuity,YES,
Cambodian Basin,KhCambd,1500,0.810691153,1200,continuity,YES,
Central Java,IdMedng,800,0.669788918,0,continuity,YES,
Central Java,IdMedng,900,0.675778444,100,continuity,YES,
Central Java,IdMedng,1000,0.675778444,200,continuity,YES,
Central Java,IdKedir,1100,0.713342492,300,continuity,YES,
Central Java,IdKedir,1200,0.725270514,400,continuity,YES,
Cuzco,PeInca*,1400,0.594645533,0,continuity,YES,
Cuzco,PeInca*,1500,0.602291323,100,continuity,YES,
Deccan,InDecNL,-2700,0.155156678,-2400,continuity,YES,
Deccan,InDecNL,-2600,0.155156678,-2300,continuity,YES,
Deccan,InDecNL,-2500,0.155156678,-2200,continuity,YES,
Deccan,InDecNL,-2400,0.155156678,-2100,continuity,YES,
Deccan,InDecNL,-2300,0.155156678,-2000,continuity,YES,
Deccan,InDecNL,-2200,0.155156678,-1900,continuity,YES,
Deccan,InDecNL,-2100,0.155156678,-1800,continuity,YES,
Deccan,InDecNL,-2000,0.155156678,-1700,continuity,YES,
Deccan,InDecNL,-1900,0.155156678,-1600,continuity,YES,
Deccan,InDecNL,-1800,0.155156678,-1500,continuity,YES,
Deccan,InDecNL,-1700,0.155156678,-1400,continuity,YES,
Deccan,InDecNL,-1600,0.155156678,-1300,continuity,YES,
Deccan,InDecNL,-1500,0.155156678,-1200,continuity,YES,
Deccan,InDecNL,-1400,0.155156678,-1100,continuity,YES,
Deccan,InDecNL,-1300,0.155156678,-1000,continuity,YES,
Deccan,InDecIA,-1200,0.19601325,-900,continuity,YES,
Deccan,InDecIA,-1100,0.19601325,-800,continuity,YES,
Deccan,InDecIA,-1000,0.19601325,-700,continuity,YES,
Deccan,InDecIA,-900,0.270681727,-600,continuity,YES,
Deccan,InDecIA,-800,0.270681727,-500,continuity,YES,
Deccan,InDecIA,-700,0.270681727,-400,continuity,YES,
Deccan,InDecIA,-600,0.270681727,-300,continuity,YES,
Deccan,InDecIA,-500,0.309011591,-200,continuity,YES,
Deccan,InDecIA,-400,0.309011591,-100,continuity,YES,
Deccan,InMaury,-300,0.865241805,0,continuity,YES,
Deccan,InDecKg,-200,0.309011591,100,continuity,YES,
Deccan,InSataL,-100,0.772670602,200,continuity,YES,
Deccan,InSataL,0,0.773019348,300,continuity,YES,
Deccan,InSataL,100,0.773918073,400,continuity,YES,
Deccan,InSataL,200,0.775743407,500,continuity,YES,
Deccan,InVakat,300,0.784964952,600,continuity,YES,
Ghanaian Coast,GhAshnE,1600,0.41954842,-200,continuity,YES,
Ghanaian Coast,GhAshnE,1700,0.41954842,-100,continuity,YES,
Ghanaian Coast,GhAshnL,1800,0.623383502,0,continuity,YES,
Iceland,IsCommw,1000,0.337468168,-300,continuity,YES,
Iceland,IsCommw,1100,0.404175293,-200,continuity,YES,
Iceland,IsCommw,1200,0.473477614,-100,continuity,YES,
Kachi Plain,PkChalc,-4000,0.237159943,-1500,continuity,YES,
Kachi Plain,PkChalc,-3900,0.237159943,-1400,continuity,YES,
Kachi Plain,PkChalc,-3800,0.237159943,-1300,continuity,YES,
Kachi Plain,PkChalc,-3700,0.237159943,-1200,continuity,YES,
Kachi Plain,PkChalc,-3600,0.237159943,-1100,continuity,YES,
Kachi Plain,PkChalc,-3500,0.237159943,-1000,continuity,YES,
Kachi Plain,PkChalc,-3400,0.237159943,-900,continuity,YES,
Kachi Plain,PkChalc,-3300,0.237159943,-800,continuity,YES,
Kachi Plain,PkPreUr,-3200,0.242889678,-700,continuity,YES,
Kachi Plain,PkPreUr,-3100,0.242889678,-600,continuity,YES,
Kachi Plain,PkPreUr,-3000,0.242889678,-500,continuity,YES,
Kachi Plain,PkPreUr,-2900,0.242889678,-400,continuity,YES,
Kachi Plain,PkPreUr,-2800,0.242889678,-300,continuity,YES,
Kachi Plain,PkPreUr,-2700,0.242889678,-200,continuity,YES,
Kachi Plain,PkPreUr,-2600,0.242889678,-100,continuity,YES,
Kachi Plain,PkUrbn1,-2500,0.679867383,0,continuity,YES,
