,NGA,RelTime,SPC1,PolPop,PolTerr,CapPop,levels,government,infrastr,writing,texts,money
0,Orkhon Valley,-1900,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
1,Orkhon Valley,-1800,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
2,Orkhon Valley,-1700,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
3,Orkhon Valley,-1600,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
4,Orkhon Valley,-1500,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
5,Orkhon Valley,-1400,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
6,Orkhon Valley,-1300,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
7,Orkhon Valley,-1200,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
8,Orkhon Valley,-1100,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
9,Orkhon Valley,-1000,0.315541355,4.552769256,5.59189343,4.007284856,2.587429106,0.1,0.075,0.2,0.1,1.0
10,Orkhon Valley,-900,0.32778218,4.917834252,6.027726403,2.43092054,2.587429106,0.1,0.075,0.2,0.1,1.0
11,Orkhon Valley,-800,0.32778218,4.917834252,6.027726403,2.43092054,2.587429106,0.1,0.075,0.2,0.1,1.0
12,Orkhon Valley,-700,0.459247869,6.176091259,6.602059991,3.704210122,4.159387969,0.34,0.075,0.58,0.1,1.0
13,Orkhon Valley,-600,0.459247869,6.176091259,6.602059991,3.704210122,4.159387969,0.34,0.075,0.58,0.1,1.0
14,Orkhon Valley,-500,0.450334253,6.09262654,6.568381854,3.638368198,3.901295964,0.318181818,0.075,0.38,0.1,1.0
15,Orkhon Valley,-400,0.430391714,6.029532107,7.176091259,4.831087771,4.288988118,0.1,0.07,0.233333333,0.1,1.0
16,Orkhon Valley,-300,0.430391714,6.029532107,7.176091259,4.831087771,4.288988118,0.1,0.07,0.233333333,0.1,1.0
17,Orkhon Valley,-200,0.430236291,5.579532352,6.602059991,3.9286318,3.326129762,0.281818182,0.175,0.233333333,0.1,1.0
18,Orkhon Valley,-100,0.430236291,5.579532352,6.602059991,3.9286318,3.326129762,0.281818182,0.175,0.233333333,0.1,1.0
19,Orkhon Valley,0,0.520649178,5.579532352,6.602059991,3.705819063,3.326129762,0.281818182,0.2875,0.766666667,0.4875,1.0
20,Orkhon Valley,100,0.60090941,5.685962239,6.658149571,4.059387574,3.286512114,0.327272727,0.328571429,0.8,0.9,4.0
21,Orkhon Valley,200,0.596966926,5.627382854,6.520500423,4.550521787,3.045309787,0.34,0.4,0.8,0.666666667,4.0
22,Orkhon Valley,300,0.644542214,5.630142018,6.345940674,4.087466508,4.06855469,0.25,0.6,0.8,0.9,3.6
23,Orkhon Valley,400,0.644542214,5.630142018,6.345940674,4.087466508,4.06855469,0.25,0.6,0.8,0.9,3.6
24,Orkhon Valley,500,0.782908611,6.579783597,6.284020244,4.346951796,4.71602263,0.8625,0.563636364,0.95,0.9625,5.0
25,Orkhon Valley,600,0.782908611,6.579783597,6.284020244,4.346951796,4.71602263,0.8625,0.563636364,0.95,0.9625,5.0
26,Orkhon Valley,700,0.302733454,4.919594888,4.887755014,2.698970004,2.666666667,0.41,0.0,0.2,0.0,1.0
27,Orkhon Valley,800,0.909591409,7.660856669,7.401776181,5.907581474,5.0,0.875,0.988888889,1.0,1.0,5.0
28,Orkhon Valley,900,0.698624834,6.642041244,6.44236318,4.522197643,3.163248075,0.7,0.633333333,0.78,0.92,3.6
29,Orkhon Valley,1000,0.698624834,6.642041244,6.44236318,4.522197643,3.163248075,0.7,0.633333333,0.78,0.92,3.6
30,Orkhon Valley,1100,0.645079013,4.750195399,6.44236318,3.795117518,3.163248075,0.76,0.633333333,0.78,0.92,3.6
31,Orkhon Valley,1200,0.718817194,5.886940158,5.268469774,4.115164195,3.937451771,0.51,0.77,0.975,0.98,5.0
32,Orkhon Valley,1300,0.992244568,8.469822016,7.053078443,5.949825059,8.0,1.0,0.925,0.833333333,1.0,6.0
33,Orkhon Valley,1400,0.996386254,8.537934496,7.053078443,6.043115387,8.0,1.0,0.925,0.833333333,1.0,6.0
34,Ghanaian Coast,-200,0.41954842,6.020136727,1.76921903,4.519068002,4.0,0.172727273,0.325,0.333333333,0.0,3.0
35,Ghanaian Coast,-100,0.41954842,6.020136727,1.76921903,4.519068002,4.0,0.172727273,0.325,0.333333333,0.0,3.0
36,Ghanaian Coast,0,0.623383502,6.599659588,5.796741471,4.130333768,5.333333333,0.454545455,0.408333333,1.0,0.375,3.0
37,Susiana,-4100,0.129736675,1.59704469,1.844231001,2.591618142,1.0,0.09,0.181818182,0.0,0.0,0.9
38,Susiana,-4000,0.129736675,1.59704469,1.844231001,2.591618142,1.0,0.09,0.181818182,0.0,0.0,0.9
39,Susiana,-3900,0.129736675,1.59704469,1.844231001,2.591618142,1.0,0.09,0.181818182,0.0,0.0,0.9
40,Susiana,-3800,0.129736675,1.59704469,1.844231001,2.591618142,1.0,0.09,0.181818182,0.0,0.0,0.9
41,Susiana,-3700,0.129736675,1.59704469,1.844231001,2.591618142,1.0,0.09,0.181818182,0.0,0.0,0.9
42,Susiana,-3600,0.129736675,1.59704469,1.844231001,2.591618142,1.0,0.09,0.181818182,0.0,0.0,0.9
43,Susiana,-3500,0.139350082,4.064934357,2.713731167,2.43812847,1.0,0.090909091,0.181818182,0.0,0.0,0.9
44,Susiana,-3400,0.139350082,4.064934357,2.713731167,2.43812847,1.0,0.090909091,0.181818182,0.0,0.0,0.9
45,Susiana,-3300,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
46,Susiana,-3200,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
47,Susiana,-3100,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
48,Susiana,-3000,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
49,Susiana,-2900,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
50,Susiana,-2800,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
51,Susiana,-2700,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
52,Susiana,-2600,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
53,Susiana,-2500,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
54,Susiana,-2400,0.16218274,1.355693541,2.924777736,2.523682346,1.0,0.1,0.214285714,0.0,0.0,1.0
55,Susiana,-2300,0.192816753,2.440826364,2.214147783,2.713309819,1.0,0.1,0.45,0.0,0.0,0.9
56,Susiana,-2200,0.192816753,2.440826364,2.214147783,2.713309819,1.0,0.1,0.45,0.0,0.0,0.9
57,Susiana,-2100,0.192816753,2.440826364,2.214147783,2.713309819,1.0,0.1,0.45,0.0,0.0,0.9
58,Susiana,-2000,0.189471307,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
59,Susiana,-1900,0.189471307,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
60,Susiana,-1800,0.189471307,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
61,Susiana,-1700,0.189471307,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
62,Susiana,-1600,0.189471307,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
63,Susiana,-1500,0.189471307,3.622118865,2.275593628,2.811750412,1.184657566,0.090909091,0.3125,0.0,0.0,0.6
64,Susiana,-1400,0.222346083,3.1113624,3.14745979,2.991896918,1.210446633,0.172727273,0.3,0.0,0.0,2.7
65,Susiana,-1300,0.236591074,3.506766378,2.62539326,2.991896918,1.543779966,0.172727273,0.3,0.0,0.0,2.7
66,Susiana,-1200,0.236591074,3.506766378,2.62539326,2.991896918,1.543779966,0.172727273,0.3,0.0,0.0,2.7
67,Susiana,-1100,0.236591074,3.506766378,2.62539326,2.991896918,1.543779966,0.172727273,0.3,0.0,0.0,2.7
68,Susiana,-1000,0.257749034,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.328571429,0.0,0.0,2.7
69,Susiana,-900,0.257749034,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.328571429,0.0,0.0,2.7
70,Susiana,-800,0.257749034,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.328571429,0.0,0.0,2.7
71,Susiana,-700,0.257749034,3.928979149,2.86809685,3.067984596,1.726396821,0.154545455,0.328571429,0.0,0.0,2.7
72,Susiana,-600,0.282595192,4.027735079,2.96983565,3.050024434,1.969035122,0.245454545,0.328571429,0.15,0.0,2.7
73,Susiana,-500,0.282595192,4.027735079,2.96983565,3.050024434,1.969035122,0.245454545,0.328571429,0.15,0.0,2.7
74,Susiana,-400,0.282595192,4.027735079,2.96983565,3.050024434,1.969035122,0.245454545,0.328571429,0.15,0.0,2.7
75,Susiana,-300,0.282595192,4.027735079,2.96983565,3.050024434,1.969035122,0.245454545,0.328571429,0.15,0.0,2.7
76,Susiana,-200,0.24254955,2.997660758,1.720774275,3.050024434,1.969035122,0.245454545,0.328571429,0.15,0.0,2.7
77,Susiana,-100,0.458935806,2.997660758,1.430868568,2.815257652,2.750748805,0.571428571,0.68,0.98,0.95,2.7
78,Susiana,0,0.512212835,4.008131588,3.510898514,2.815257652,2.916916268,0.571428571,0.68,0.98,0.95,2.7
79,Susiana,100,0.535130762,3.990294092,4.320087073,3.542955833,2.916916268,0.571428571,0.68,0.98,0.95,2.7
80,Susiana,200,0.551342914,4.238199531,3.72708224,3.698970004,3.247689661,0.571428571,0.68,0.98,0.95,2.7
81,Susiana,300,0.562228405,4.329926391,4.112798296,3.698970004,3.583582935,0.571428571,0.68,0.98,0.95,2.7
82,Susiana,400,0.561189636,4.363782491,4.096811828,3.698970004,3.583582935,0.571428571,0.68,0.98,0.95,2.7
83,Susiana,500,0.52954672,3.838849091,3.597264419,3.569262714,3.583582935,0.571428571,0.68,0.98,0.95,2.7
84,Susiana,600,0.53746034,3.838849091,2.712990921,3.569262714,3.452586699,0.571428571,0.725,0.98,0.9,2.7
