,NGA,RelTime,SPC1
0,Deccan,-2400,0.155156678
1,Deccan,-2300,0.155156678
2,Deccan,-2200,0.155156678
3,Deccan,-2100,0.155156678
4,Deccan,-2000,0.155156678
5,Deccan,-1900,0.155156678
6,Deccan,-1800,0.155156678
7,Deccan,-1700,0.155156678
8,Deccan,-1600,0.155156678
9,Deccan,-1500,0.155156678
10,Deccan,-1400,0.155156678
11,Deccan,-1300,0.155156678
12,Deccan,-1200,0.155156678
13,Deccan,-1100,0.155156678
14,Deccan,-1000,0.155156678
15,Deccan,-900,0.19601325
16,Deccan,-800,0.19601325
17,Deccan,-700,0.19601325
18,Deccan,-600,0.270681727
19,Deccan,-500,0.270681727
20,Deccan,-400,0.270681727
21,Deccan,-300,0.270681727
22,Deccan,-200,0.309011591
23,Deccan,-100,0.309011591
24,Deccan,0,0.865241805
25,Deccan,100,0.309011591
26,Deccan,200,0.772670602
27,Deccan,300,0.773019348
28,Deccan,400,0.773918073
29,Deccan,500,0.775743407
30,Deccan,600,0.784964952
31,Deccan,800,0.722242598
32,Deccan,900,0.804720855
33,Deccan,1000,0.811569213
34,Deccan,1100,0.79323038
35,Deccan,1200,0.794156053
36,Deccan,1300,0.819299087
37,Deccan,1500,0.776915049
38,Deccan,1600,0.689394339
39,Deccan,1700,0.823461921
40,Deccan,1800,0.832823656
41,Deccan,1900,0.832811869
42,Deccan,2000,0.894917238
43,Sogdiana,-3000,0.26234712
44,Sogdiana,-2900,0.26234712
45,Sogdiana,-2800,0.26234712
46,Sogdiana,-2700,0.26234712
47,Sogdiana,-2600,0.26234712
48,Sogdiana,-2500,0.26234712
49,Sogdiana,-2400,0.26234712
50,Sogdiana,-2300,0.26234712
51,Sogdiana,-2200,0.26234712
52,Sogdiana,-2100,0.26234712
53,Sogdiana,-2000,0.26234712
54,Sogdiana,-1900,0.26234712
55,Sogdiana,-1800,0.26234712
56,Sogdiana,-1700,0.26234712
57,Sogdiana,-1600,0.26234712
58,Sogdiana,-1500,0.216965914
59,Sogdiana,-1400,0.216965914
60,Sogdiana,-1300,0.216965914
61,Sogdiana,-1200,0.216965914
62,Sogdiana,-1100,0.216965914
63,Sogdiana,-1000,0.216965914
64,Sogdiana,-900,0.148653829
65,Sogdiana,-800,0.148653829
66,Sogdiana,-700,0.148653829
67,Sogdiana,-600,0.148653829
68,Sogdiana,-500,0.248366221
69,Sogdiana,-400,0.369239141
70,Sogdiana,-300,0.384023796
71,Sogdiana,-200,0.315680285
72,Sogdiana,-100,0.315680285
73,Sogdiana,0,0.887021376
74,Sogdiana,100,0.884931562
75,Sogdiana,200,0.85419066
76,Sogdiana,300,0.765870426
77,Sogdiana,400,0.684295704
78,Sogdiana,500,0.619264747
79,Sogdiana,600,0.810552424
80,Sogdiana,700,0.806141972
81,Sogdiana,800,0.806545958
82,Sogdiana,900,0.819902671
83,Sogdiana,1000,0.803125862
84,Sogdiana,1100,0.717370046
85,Sogdiana,1200,0.657984735
86,Sogdiana,1300,0.8674214
87,Sogdiana,1400,0.847891918
88,Sogdiana,1500,0.813858966
89,Sogdiana,1600,0.768089962
90,Sogdiana,1700,0.813879614
91,Sogdiana,1800,0.743461331
92,Sogdiana,1900,0.872745656
93,Sogdiana,2000,0.841678405
94,Sogdiana,2100,0.779340291
95,Sogdiana,2200,0.788146715
96,Ghanaian Coast,-200,0.41954842
97,Ghanaian Coast,-100,0.41954842
98,Ghanaian Coast,0,0.623383502
99,Konya Plain,-7600,0.105088748
100,Konya Plain,-7500,0.105088748
101,Konya Plain,-7400,0.105088748
102,Konya Plain,-7300,0.105088748
103,Konya Plain,-7200,0.105088748
104,Konya Plain,-7100,0.105088748
105,Konya Plain,-7000,0.105088748
106,Konya Plain,-6900,0.105088748
107,Konya Plain,-6800,0.105088748
108,Konya Plain,-6700,0.105088748
109,Konya Plain,-6600,0.105088748
110,Konya Plain,-6500,0.105088748
111,Konya Plain,-6400,0.105088748
112,Konya Plain,-6300,0.105088748
113,Konya Plain,-6200,0.105088748
114,Konya Plain,-6100,0.105088748
115,Konya Plain,-6000,0.105088748
116,Konya Plain,-5900,0.105088748
117,Konya Plain,-5800,0.105088748
118,Konya Plain,-5700,0.105088748
119,Konya Plain,-5600,0.105088748
120,Konya Plain,-5500,0.105088748
121,Konya Plain,-5400,0.105088748
122,Konya Plain,-5300,0.105088748
123,Konya Plain,-5200,0.105088748
124,Konya Plain,-5100,0.105088748
125,Konya Plain,-5000,0.13438793
126,Konya Plain,-4900,0.13438793
127,Konya Plain,-4800,0.13438793
128,Konya Plain,-4700,0.13438793
129,Konya Plain,-4600,0.220490479
130,Konya Plain,-4500,0.220490479
131,Konya Plain,-4400,0.220490479
132,Konya Plain,-4300,0.220490479
133,Konya Plain,-4200,0.220490479
134,Konya Plain,-4100,0.220490479
135,Konya Plain,-4000,0.200311163
136,Konya Plain,-3900,0.200311163
137,Konya Plain,-3800,0.200311163
138,Konya Plain,-3700,0.200311163
139,Konya Plain,-3600,0.200311163
140,Konya Plain,-3000,0.252058313
141,Konya Plain,-2900,0.252058313
142,Konya Plain,-2800,0.252058313
143,Konya Plain,-2700,0.252058313
144,Konya Plain,-2600,0.252058313
145,Konya Plain,-2500,0.252058313
146,Konya Plain,-2400,0.252058313
147,Konya Plain,-2300,0.252058313
148,Konya Plain,-2200,0.252058313
149,Konya Plain,-2100,0.252058313
150,Konya Plain,-2000,0.252058313
151,Konya Plain,-1900,0.252058313
